fecha,IDEESS,provincia,municipio,rotulo,gasolina95,gasolina98,gasoleoA,latitud,longitud
"2026-09-10","4375","ALBACETE","Abengibre","Nº 10.935","1,749","","1,749","39,211417","-1,539167"
"2026-09-10","5122","ALBACETE","Alatoz","REPSOL","1,959","","1,939","39,100389","-1,346083"
"2026-09-10","12054","ALBACETE","Albacete","BP ROMICA","1,955","2,095","1,919","39,054694","-1,832000"
"2026-09-10","10765","ALBACETE","Albacete","CARREFOUR","1,889","2,019","1,869","38,985667","-1,868500"
"2026-09-10","13933","ALBACETE","Albacete","PLENERGY","1,729","","1,739","39,000861","-1,849833"
"2026-09-10","5195","ALBACETE","Albacete","REPSOL","1,969","2,079","1,899","38,999722","-1,854556"
"2026-09-10","4369","ALBACETE","Albacete","PLENERGY","1,719","","1,709","39,003333","-1,864917"
"2026-09-10","14123","ALBACETE","Albacete","MOEVE","1,939","2,019","1,899","39,005083","-1,859917"
"2026-09-10","15000","ALBACETE","Albacete","A&A","1,659","","1,699","39,006889","-1,885361"
"2026-09-10","16011","ALBACETE","Albacete","PLENERGY","1,679","","1,719","39,005528","-1,884444"
"2026-09-10","5313","ALBACETE","Albacete","CEPSA","1,949","2,069","1,939","38,989250","-1,849028"
"2026-09-10","5222","ALBACETE","Albacete","REPSOL","1,949","2,109","1,909","38,988111","-1,883694"
"2026-09-10","5208","ALBACETE","Albacete","REPSOL","1,969","2,079","1,939","39,027778","-1,892972"
"2026-09-10","5318","ALBACETE","Albacete","PETROCAMP","1,759","","1,759","38,985194","-1,866806"
"2026-09-10","14377","ALBACETE","Albacete","P347","","","1,749","38,965639","-1,935500"
"2026-09-10","5116","ALBACETE","Albacete","REPSOL","1,949","2,109","1,899","38,925833","-2,031861"
"2026-09-10","4372","ALBACETE","Albacete","LA PULGOSA","1,789","","1,825","38,963972","-1,875944"
"2026-09-10","4428","ALBACETE","Albacete","FAMILY ENERGY","1,709","1,799","1,709","38,988972","-1,847361"
"2026-09-10","5191","ALBACETE","Albacete","REPSOL","1,969","2,109","1,939","39,012583","-1,874972"
"2026-09-10","5245","ALBACETE","Albacete","REPSOL","1,949","2,059","1,899","38,994667","-1,871722"
"2026-09-10","4416","ALBACETE","Albacete","INPEALSA","1,779","","1,779","38,982167","-1,853306"
"2026-09-10","5289","ALBACETE","Albacete","REPSOL","1,969","2,109","1,929","39,033139","-1,845083"
"2026-09-10","5129","ALBACETE","Albacete","INPEALSA","1,789","","1,789","38,929389","-1,831639"
"2026-09-10","11048","ALBACETE","Albacete","CEPSA","1,949","","1,919","38,970167","-1,919778"
"2026-09-10","5272","ALBACETE","Albacete","REPSOL","1,915","2,075","1,889","38,900944","-1,994028"
"2026-09-10","4394","ALBACETE","Albacete","LOZANO","1,811","","1,717","38,867556","-1,920500"
"2026-09-10","11087","ALBACETE","Albacete","REPSOL","1,955","2,065","1,929","39,031528","-1,891361"
"2026-09-10","9546","ALBACETE","Albacete","REPSOL. LOS ANGELES DE LA MANCHA, S.L.","1,955","","1,939","38,971722","-1,845278"
"2026-09-10","11297","ALBACETE","Albacete","REPSOL Nº ESTACIÓN 97179","1,955","2,105","1,939","38,971778","-1,845306"
